name,type,label,values,missingformat,missingValue1,missingValue2,missingValue3,width,decimals,measurelevel,role,attributes,dw_konstruct,dw_measocc,dw_instrument,dw_itemtext,dw_filtervariable
"TargEff__Like_avg_acq","Numeric","SRM target effect: likeability",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"TargEff__Int_avg_acq","Numeric","SRM target effect: intelligence",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"TargEff__FIPI_N_avg_acq","Numeric","SRM target effect: neuroticism",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"TargEff__FIPI_E_avg_acq","Numeric","SRM target effect: extraversion",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"TargEff__FIPI_O_avg_acq","Numeric","SRM target effect: openness",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"TargEff__FIPI_A_avg_acq","Numeric","SRM target effect: agreeableness",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"TargEff__FIPI_C_avg_acq","Numeric","SRM target effect: conscientiousness",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PercEff__choice_relFrequ_acq","Numeric","SRM perceiver effect: actual choice",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PercEff__FS_avg_acq","Numeric","SRM perceiver effect: friendship",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PercEff__ONS_avg_acq","Numeric","SRM perceiver effect: one night stand",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PercEff__BC_avg_acq","Numeric","SRM perceiver effect: booty call",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PercEff__FWB_avg_acq","Numeric","SRM perceiver effect: friends-with-benefits",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PercEff__STR_avg_acq","Numeric","SRM perceiver effect: short-term relationship (aggregated)",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PercEff__LTR_avg_acq","Numeric","SRM perceiver effect: long-term relationship",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PercEff__PA_avg_acq","Numeric","SRM perceiver effect: physical attractiveness",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PercEff__Like_avg_acq","Numeric","SRM perceiver effect: likeability",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PercEff__Int_avg_acq","Numeric","SRM perceiver effect: intelligence",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PercEff__FIPI_N_avg_acq","Numeric","SRM perceiver effect: neuroticism",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PercEff__FIPI_E_avg_acq","Numeric","SRM perceiver effect: extraversion",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PercEff__FIPI_O_avg_acq","Numeric","SRM perceiver effect: openness",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PercEff__FIPI_A_avg_acq","Numeric","SRM perceiver effect: agreeableness",,"No missing values",,,,8,2,"Metric","Input",,,,,,
"PercEff__FIPI_C_avg_acq","Numeric","SRM perceiver effect: conscientiousness",,"No missing values",,,,8,2,"Metric","Input",,,,,,
