name,type,label,values,missingformat,missingValue1,missingValue2,missingValue3,width,decimals,measurelevel,role,attributes,dw_konstruct,dw_measocc,dw_instrument,dw_itemtext,dw_filtervariable
"problem","Numeric","problem with sleep?","{1=yes}{2=no}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"impact1","Numeric","mood","{1=not at all}{10=to a great extent}","No missing values",,,,8,0,"Metric","Input",,,,,,
"impact2","Numeric","energy level","{1=not at all}{10=to a great extent}","No missing values",,,,8,0,"Metric","Input",,,,,,
"impact3","Numeric","concent","{1=not at all}{10=to a great extent}","No missing values",,,,8,0,"Metric","Input",,,,,,
"impact4","Numeric","memory","{1=not at all}{10=to a great extent}","No missing values",,,,8,0,"Metric","Input",,,,,,
"impact5","Numeric","life sat","{1=not at all}{10=to a great extent}","No missing values",,,,8,0,"Metric","Input",,,,,,
"impact6","Numeric","overall well-being","{1=not at all}{10=to a great extent}","No missing values",,,,8,0,"Metric","Input",,,,,,
"impact7","Numeric","relationships","{1=not at all}{10=to a great extent}","No missing values",,,,8,0,"Metric","Input",,,,,,
"stopb","Numeric","stop breathing","{1=yes}{2=no}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"restlss","Numeric","restless sleeper","{1=yes}{2=no}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"drvsleep","Numeric","asleep while driving","{1=yes}{2=no}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"drvresul","Numeric","drive, result in acc due to sleepy","{1=yes}{2=no}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"ess","Numeric","epworth sleepiness scale",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"anxiety","Numeric","HADS Anxiety",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"depress","Numeric","HADS Depression",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"fatigue","Numeric","fatigued",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"lethargy","Numeric","lethargic",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"tired","Numeric","tired",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"sleepy","Numeric","sleepy",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"energy","Numeric","lack energy",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"stayslprec","Numeric","prob stay asleep rec","{0=no}{1=yes}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"getsleprec","Numeric","prob fall asleep rec","{0=no}{1=yes}","No missing values",,,,8,0,"Nominal","Input",,,,,,
"qualsleeprec","Numeric","qual sleep rec","{1=very poor, poor}{2=fair}{3=good}{4=very good, excellent}","No missing values",,,,8,0,"Metric","Input",,,,,,
"totsas","Numeric","sleepy & assoc sensations scale",,"No missing values",,,,8,0,"Metric","Input",,,,,,
"cigsgp3","Numeric","cigs per day gp3","{1=<= 5}{2=6 - 15}{3=16+}","No missing values",,,,5,0,"Ordinal","Input",,,,,,
"agegp3","Numeric","agegp3","{1=<= 37}{2=38 - 50}{3=51+}","No missing values",,,,5,0,"Ordinal","Input",,,,,,
"probsleeprec","Numeric","prob sleep recode 01","{0=no}{1=yes}","No missing values",,,,8,0,"Metric","Input",,,,,,
"drvslprec","Numeric","fall asleep while driving","{0=no}{1=yes}","No missing values",,,,8,0,"Metric","Input",,,,,,
