name,type,label,values,missingformat,missingValue1,missingValue2,missingValue3,width,decimals,measurelevel,role,attributes,dw_konstruct,dw_measocc,dw_instrument,dw_itemtext,dw_filtervariable
"Q9","Numeric","Q9. Yesterday, about how much 100% fruit juice, like orange or apple juice, did you drink?","{1=I did not drink 100% fruit juice yesterday}{2=1 can or less (1 cup=8oz, 1 can=12 oz)}{3=2 cans (about one 20-oz bottle or 2.5 cups)}{4=3 cans (about two 20-oz bottles or 4.5 cups)}{5=4 or more cans (48 oz or more)}{12=I did not drink 100% fruit juice yesterday and 1 can or less (1 cup=8oz, 1 can=12 oz)}{13=I did not drink 100% fruit juice yesterday and 2 cans (about one 20-oz bottle or 2.5 cups)}{15=I did not drink 100% fruit juice yesterday and 4 or more cans (48 oz or more)}{23=1 can or less (1 cup=8oz, 1 can=12 oz) and 2 cans (about one 20-oz bottle or 2.5 cups)}{34=2 cans (about one 20-oz bottle or 2.5 cups) and 3 cans (about two 20-oz bottles or 4.5 cups)}{1234=I did not drink 100% fruit juice yesterday, 1 can or less, 2 cans, and 3 cans}{12345=All options selected}","No missing values",,,,5,0,"Nominal","Input",,,,,,
"Q10","Numeric","Q10. Yesterday, about how many sweetened fruit-flavored drinks, sweetened tea drinks, or sweetened coffee drinks did you drink?","{1=I did not drink sweetened fruit flavored, tea or coffee drinks yesterday}{2=1 can or less (1 cup=8oz, 1 can=12 oz)}{3=2 cans (about one 20-oz bottle or 2.5 cups)}{4=3 cans (about two 20-oz bottles or 4.5 cups)}{5=4 or more cans (48 oz or more)}{12=I did not drink any sweetened fruit-flavored, tea, or coffee drinks yesterday and 1 can or less}{13=I did not drink any sweetened fruit-flavored, tea, or coffee drinks yesterday and 2 cans}{15=I did not drink any sweetened fruit-flavored, tea, or coffee drinks yesterday and 4 or more cans}{23=1 can or less (1 cup=8oz, 1 can=12 oz) and 2 cans (about one 20-oz bottle or 2.5 cups)}{34=2 cans (about one 20-oz bottle or 2.5 cups) and 3 cans (about two 20-oz bottles or 4.5 cups)}{45=3 cans (about two 20-oz bottles or 4.5 cups) and 4 or more cans (48 oz or more)}{1234=Did not drink any sweetened fruit-flavored, tea, or coffee drinks yesterday, 1 can or less, 2 cans, and 3 cans}{2345=1 can or less, 2 cans, 3 cans, and 4 or more cans}{12345=All options selected}","No missing values",,,,5,0,"Nominal","Input",,,,,,
"Q11","Numeric","Q11. Yesterday, about how much tap water did you drink?","{1=I did not drink tap water yesterday}{2=A few sips}{3=1 cup (8 oz)}{4=2 cups}{5=3 cups}{6=4 or more cups}{12=I did not drink tap water yesterday and a few sips}{14=I did not drink tap water yesterday and 2 cups}{15=I did not drink tap water yesterday and 3 cups}{16=I did not drink tap water yesterday and 4 or more cups}{23=A few sips and 1 cup 8 oz}{25=A few sips and 3 cups}{34=1 cup 8 oz and 2 cups}{45=2 cups and 3 cups}{56=3 cups and 4 or more cups}{123456=All options selected}","No missing values",,,,6,0,"Nominal","Input",,,,,,
"Q12","Numeric","Q12. Yesterday, about how much bottled water like Aquafina, did you drink?","{1=I did not drink bottled water yesterday}{2=Less than 1 bottle (a sip or a few sips)}{3=1 bottle (about 16-20 oz)}{4=2 bottles}{5=3 bottles}{6=4 or more bottles}{12=I did not drink bottled water yesterday and less than 1 bottle a sip or a few sips}{14=I did not drink bottled water yesterday and 2 bottles}{16=I did not drink bottled water yesterday and 4 or more bottles}{23=Less than 1 bottle a sip or a few sips and 1 bottle about 16-20 oz}{34=1 bottle about 16-20 oz and 2 bottles}{134=I did not drink bottled water yesterday, 1 bottle about 16-20 oz, and 2 bottles}{245=Less than 1 bottle a sip or a few sips, 2 bottles, and 3 bottles}","No missing values",,,,3,0,"Nominal","Input",,,,,,
"Q13","Numeric","Q13. How often do you usually drink sugary drinks?","{1=Every day}{2=A few times a week}{3=Once a week}{4=Twice a month}{5=Once a month}{6=Less than once a month}{7=Never}{12=Every day and a few times a week}{13=Every day and once a week}{15=Every day and once a month}{17=Every day and never}{23=A few times a week and once a week}{25=A few times a week and once a month}{26=A few times a week and less than once a month}{27=A few times a week and never}{34=Once a week and twice a month}{36=Once a week and less than once a month}{46=Twice a month and less than once a month}{47=Twice a month and never}{67=Less than once a month and never}","No missing values",,,,2,0,"Nominal","Input",,,,,,
"Q14","Numeric","Q14. In the past week, where have you gotten sugary drinks (Check all that apply)","{1=At your home or someone else's home}{2=At school}{3=At a restaurant}{4=At a store}{5=Somewhere else}{6=I did not get any sugary drinks in the past week}{12=At your home or someone else's home and at school}{13=At your home or someone else's home and at a restaurant}{14=At your home or someone else's home and at a store}{15=At your home or someone else's home and somewhere else}{16=At your home or someone else's home and I did not get any sugary drinks in the past week}{23=At school and at a restaurant}{24=At school and at a store}{25=At school and somewhere else}{34=At a restaurant and at a store}{35=At a restaurant and somewhere else}{45=At a store and somewhere else}{56=Somewhere else and I did not get any sugary drinks in the past week}{123=At your home or someone else's home, at school, and at a restaurant}{124=At your home or someone else's home, at school, and at a store}{125=At your home or someone else's home, at school, and somewhere else}{134=At your home or someone else's home, at a restaurant, and at a store}{135=At your home or someone else's home, at a restaurant, and somewhere else}{145=At your home or someone else's home, at a store, and somewhere else}{234=At school, at a restaurant, and at a store}{235=At school, at a restaurant, and somewhere else}{245=At school, at a store, and somewhere else}{345=At a restaurant, at a store, and somewhere else}{456=At a store, somewhere else, and I did not get any sugary drinks in the past week}{1234=At your home or someone else's home, at school, at a restaurant, and at a store}{1235=At your home or someone else's home, at school, at a restaurant, and somewhere else}{1245=At your home or someone else's home, at school, at a store, and somewhere else}{1345=At your home or someone else's home, at a restaurant, at a store, and somewhere else}{2356=At school, at a restaurant, somewhere else, and I did not get any sugary drinks in the past week}{12345=At your home or someone else's home, at school, at a restaurant, at a store, and somewhere else}{13456=At your/someone else's home, at a restaurant, at a store, somewhere else, and I did not get any sugary drinks}{123456=All options selected}","No missing values",,,,6,0,"Nominal","Input",,,,,,
"Q15","Numeric","Q15. How important is a large portion when you are deciding whether to buy a beverage?","{1=Not at all important}{3=Somewhat important}{5=Very important}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q16","Numeric","Q16. How important is a low price when you are deciding whether to buy a beverage?","{1=Not at all important}{3=Somewhat important}{5=Very important}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q17","Numeric","Q17. How important is it that a beverage is low in calorie when you are deciding whether to buy it?","{1=Not at all important}{3=Somewhat important}{5=Very important}{13=Not at all important and somewhat important}{15=Not at all important and very important}{23=2 and somewhat important}{24=2 and 4}{25=2 and very important}{34=Somewhat important and 4}{35=Somewhat important and very important}{45=4, and very important}{145=Not at all important, 4, and very important}{345=Somewhat important, 4, and very important}{12345=All options selected}","No missing values",,,,5,0,"Nominal","Input",,,,,,
"Q18","Numeric","Q18. Do you believe drinking tap water is (bad to good for health)","{1=Bad for health}{4=Neither}{7=Good for health}{12=Bad for health and 2}{13=Bad for health and 3}{14=Bad for health and neither}{16=Bad for health and 6}{17=Bad for health and good for health}{27=2 and good for health}{34=3 and neither}{37=3 and good for health}{46=Neither and 6}{47=Neither and good for health}{57=5 and good for health}{67=6 and good for health}{467=Neither, 6, and good for health}{567=5, 6, and good for health}{1247=Bad for health, 2, neither, and good for health}{1457=Bad for health, neither, 5, good for health}{3567=3, 5, 6, and good for health}{12346=Bad for health, 2, 3, neither, and 6}{123467=Bad for health, 2, 3, neither, 6, and good for health}","No missing values",,,,6,0,"Metric","Input",,,,,,
"Q19","Numeric","Q19. Do you believe drinking bottled water is (bad to good for health)","{1=Bad for health}{4=Neither}{7=Good for health}{12=Bad for health and 2}{14=Bad for health and neither}{15=Bad for health and 5}{17=Bad for health and good for health}{27=2 and good for health}{34=3 and neither}{45=Neither and 5}{47=Neither and good for health}{57=5 and good for health}{67=6 and good for health}{124=Bad for health, 2, and neither}{125=Bad for health, 2, and 5}{367=3, 6, and good for health}{567=5, 6, and good for health}{1237=Bad for health, 2, 3, and good for health}{1257=Bad for health, 2, 5, and good for health}{12345=Bad for health, 2, 3, neither, and 5}{12357=Bad for health, 2, 3, 5, and good for health}{1234567=All options selected}","No missing values",,,,7,0,"Metric","Input",,,,,,
"Q20","Numeric","Q20. About how much of your own money do you spend per week on sugary drinks? (filler)",,"No missing values",,,,1,0,"Metric","Input",,,,,,
"Q20A","Numeric","Q20a. About how much of your own money do you spend per week on sugary drinks?",,"No missing values",,,,6,0,"Metric","Input",,,,,,
"Q21","Numeric","Q21. Are there any rules in your house limiting the amount of sugary drinks that you are allowed to have each day?","{1=Yes}{2=No}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q22A","String","22A. Yesterday, about how many servings of: salty snacks",,"No missing values",,,,9,0,"Nominal","Input",,,,,,
"Q22B","String","22B. Yesterday, about how many servings of: cookies",,"No missing values",,,,9,0,"Nominal","Input",,,,,,
"Q22C","String","22C. Yesterday, about how many servings of: candy",,"No missing values",,,,6,0,"Nominal","Input",,,,,,
"Q22D","String","22D. Yesterday, about how many servings of: fruit",,"No missing values",,,,9,0,"Nominal","Input",,,,,,
"Q22E","String","22E. Yesterday, about how many servings of: dark green vegetables",,"No missing values",,,,9,0,"Nominal","Input",,,,,,
"Q23","Numeric","23. Past 7 days (P7D), on how many days were you physically active for a total of at least 60 min per day?",,"No missing values",,,,1,0,"Metric","Input",,,,,,
"Q24","Numeric","24. Past 7 days (P7D), on how many days did you do exercise to strengthen or tone your muscles?",,"No missing values",,,,1,0,"Metric","Input",,,,,,
"Q25","Numeric","25. How much do you weigh without your shoes on? (filler)",,"No missing values",,,,1,0,"Metric","Input",,,,,,
"Q25A","Numeric","25a. How much do you weigh without your shoes on? (Pounds)",,"No missing values",,,,6,0,"Metric","Input",,,,,,
"Q26","Numeric","26. How tall are you without your shoes on? (filler)",,"No missing values",,,,1,0,"Metric","Input",,,,,,
"Q26A","Numeric","26a. How tall are you without your shoes on? (Feet)",,"No missing values",,,,3,0,"Metric","Input",,,,,,
"Q26B","Numeric","26b. How tall are you without your shoes on? (Inches)",,"No missing values",,,,3,0,"Metric","Input",,,,,,
"Q27","Numeric","27. Have you heard of or seen any information about Mixify or the Balance Calories Initiative of the American Beverage Association (ABA)?","{1=Yes}{2=No}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"Q28","Numeric","28. If yes, where did you hear of Mixify or the Balance Calories Initiative (check all)","{1=On the internet}{2=At a store}{3=On a billboard}{4=On a bus advertisement}{12=On the internet and at a store}{13=On the internet and on a billboard}{14=On the internet and on a bus advertisement}{23=At a store and on a billboard}{24=At a store and on a bus advertisement}{34=On a billboard and on a bus advertisement}{123=On the internet, at a store, and on a billboard}{124=On the internet, at a store, and on a bus advertisement}{134=On the internet, on a billboard, and on a bus advertisement}{234=At a store, on a billboard, and on a bus advertisement}{1234=All options selected}","No missing values",,,,4,0,"Nominal","Input",,,,,,
"Q28A","String","28a. If yes, where did you hear of Mixify or the Balance Calories Initiative (Other specify)",,"No missing values",,,,51,0,"Nominal","Input",,,,,,
"SURVEY_DATE","Numeric","[Recode] Date of survey",,"No missing values",,,,5,0,"Metric","Input",,,,,,
"SURVEY_MONTH","Numeric","[Recode] Month of survey",,"No missing values",,,,2,0,"Metric","Input",,,,,,
"SURVEY_YEAR","Numeric","[Recode] Year of survey",,"No missing values",,,,4,0,"Metric","Input",,,,,,
"RACE_LATINO","Numeric","[Derived] How do you describe yourself: Latino/Latina","{0=Not selected}{1=Selected}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"RACE_BLACK","Numeric","[Derived] How do you describe yourself: Black, African American","{0=Not selected}{1=Selected}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"RACE_WHITE","Numeric","[Derived] How do you describe yourself: White","{0=Not selected}{1=Selected}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"RACE_ASIAN","Numeric","[Derived] How do you describe yourself: Asian or Asian American","{0=Not selected}{1=Selected}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"RACE_PACIFIC","Numeric","[Derived] How do you describe yourself: Pacific Islander","{0=Not selected}{1=Selected}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"RACE_AMINDIAN","Numeric","[Derived] How do you describe yourself: American Indian or Alaska Native","{0=Not selected}{1=Selected}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"RACE_OTHER","Numeric","[Derived] How do you describe yourself: Some other race or ethnicity","{0=Not selected}{1=Selected}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"RACE_3G","Numeric","[Derived] 3 race/ethnicity groups (Black, White, multiple/other)","{1=Black}{2=White}{3=Multi/Other}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"VISIT_FREQ","Numeric","[Recode] How often do you visit this store or restaurant?","{1=Almost every day (5-7 x/week)}{2=A few days per week (2-4 x/week)}{3=About once a week}{4=Occasionally (1-3x per month)}{5=Seldom (less than once a month)}{6=Rarely (a few times a year or less)}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"REGULAR_SODA","Numeric","[Recode] Yesterday, about how much regular soda did you drink?","{1=None}{2=1 can or less}{3=2 cans}{4=3 cans}{5=4 +}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"REGULAR_SODA_TOPCODE","Numeric","[Recode] Yesterday, about how much regular soda did you drink? (0 to 4)",,"No missing values",,,,1,0,"Metric","Input",,,,,,
"REGULAR_SODA_ANY","Numeric","[Recode] Yesterday, how much regular soda did you drink (any)?","{1=None}{2=Some}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"REGULAR_SODA_2CANS","Numeric","[Recode] Yesterday, how much regular soda did you drink (2 cans +)?","{1=< 2 cans}{2=2 or more}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"DIET_SODA","Numeric","[Recode] Yesterday, about how much diet soda did you drink?","{1=None}{2=1 can or less}{3=2 cans}{4=3 cans}{5=4 +}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"DIET_SODA_TOPCODE","Numeric","[Recode] Yesterday, about how much diet soda did you drink?(0 to 4)",,"No missing values",,,,1,0,"Metric","Input",,,,,,
"DIET_SODA_ANY","Numeric","[Recode] Yesterday, how much diet soda did you drink (any)?","{1=None}{2=Some}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"DIET_SODA_2CANS","Numeric","[Recode] Yesterday, how much diet soda did you drink (2 cans +)?","{1=< 2 cans}{2=2 or more}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"SPORTS_DRINK","Numeric","[Recode] Yesterday, about how many sports or energy drinks did you drink?","{1=None}{2=1 can or less}{3=2 cans}{4=3 cans}{5=4 +}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"SPORTS_DRINK_TOPCODE","Numeric","[Recode] Yesterday, about how many sports or energy drinks did you drink? (0 to 4)",,"No missing values",,,,1,0,"Metric","Input",,,,,,
"SPORTS_DRINK_ANY","Numeric","[Recode] Yesterday, about how many sports or energy drinks did you drink (any)?","{1=None}{2=Some}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"SPORTS_DRINK_2CANS","Numeric","[Recode] Yesterday, about how many sports or energy drinks did you drink (2 cans +)?","{1=< 2 cans}{2=2 or more}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"FRUIT_JUICE","Numeric","[Recode] Yesterday, about how much 100% fruit juice did you drink?","{1=None}{2=1 can or less}{3=2 cans}{4=3 cans}{5=4 +}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"FRUIT_JUICE_TOPCODE","Numeric","[Recode] Yesterday, about how much 100% fruit juice did you drink? (0 to 4)",,"No missing values",,,,1,0,"Metric","Input",,,,,,
"FRUIT_JUICE_ANY","Numeric","[Recode] Yesterday, about how much 100% fruit juice did you drink (any)?","{1=None}{2=Some}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"FRUIT_JUICE_2CANS","Numeric","[Recode] Yesterday, about how much 100% fruit juice did you drink (2 cans +)?","{1=< 2 cans}{2=2 or more}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"SWEET_DRINK","Numeric","[Recode] Yesterday, about how much sweetened fruit/tea/coffee did you drink?","{1=None}{2=1 can or less}{3=2 cans}{4=3 cans}{5=4 +}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"SWEET_DRINK_TOPCODE","Numeric","[Recode] Yesterday, about how much sweetened fruit/tea/coffee did you drink? (0 to 4)",,"No missing values",,,,1,0,"Metric","Input",,,,,,
"SWEET_DRINK_ANY","Numeric","[Recode] Yesterday, how much sweetened fruit/tea/coffee did you drink (any)?","{1=None}{2=Some}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"SWEET_DRINK_2CANS","Numeric","[Recode] Yesterday, how much sweetened fruit/tea/coffee did you drink (2 cans +)?","{1=< 2 cans}{2=2 or more}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"SSB_CONSUMPTION","Numeric","[Derived] Estimate of Sugar Sweetened Beverages (SSB) consumed yesterday (soda, sports, and sweet drinks)",,"No missing values",,,,2,0,"Metric","Input",,,,,,
"SSB_CONSUMPTION_ANY","Numeric","[Derived] Sugar Sweetened Beverages (SSB) consumed (none vs some)","{1=None}{2=Some}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"SSB_CONSUMPTION_2CUP","Numeric","[Derived] Sugar Sweetened Beverages (SSB) consumed (2 or more cups)","{1=None to 1cup}{2=2+}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"SSB_CONSUMPTION_3CUP","Numeric","[Derived] Sugar Sweetened Beverages (SSB) consumed (3 or more cups)","{1=None to 2cup}{2=3+}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"SSB_CONSUMPTION_4CUP","Numeric","[Derived] Sugar Sweetened Beverages (SSB) consumed (4 or more cups)","{1=None to 3cup}{2=4+}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"HEAVY_SSB","Numeric","[Derived] Indicator if consume 4 or more Sugar Sweetened Beverages (SSB)","{0=No}{1=Yes}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"TAP_WATER","Numeric","[Recode] Yesterday, how much tap water did you drink?","{1=None}{2=A few sips}{3=1 cup}{4=2 cups}{5=3 cups}{6=4 +}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"TAP_WATER_TOPCODE","Numeric","[Recode] Yesterday, how much tap water did you drink? (0 to 4)",,"No missing values",,,,3,1,"Metric","Input",,,,,,
"TAP_WATER_ANY","Numeric","[Recode] Yesterday, how much tap water did you drink? (any)?","{1=None}{2=Some}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"TAP_WATER_2CUPS","Numeric","[Recode] Yesterday, how much tap water did you drink? (2 cups +)?","{1=< 2 cups}{2=2 or more}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"BOTTLED_WATER","Numeric","[Recode] Yesterday, how much bottled water did you drink?","{1=None}{2=Less than 1 bottle}{3=1 bottle}{4=2 bottles}{5=3 bottles}{6=4 +}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"BOTTLED_WATER_TOPCODE","Numeric","[Recode] Yesterday, how much bottled water did you drink? (0 to 4)",,"No missing values",,,,3,1,"Metric","Input",,,,,,
"BOTTLED_WATER_ANY","Numeric","[Recode] Yesterday, how much bottled water did you drink? (any)?","{1=None}{2=Some}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"BOTTLED_WATER_2","Numeric","[Recode] Yesterday, how much bottled water did you drink? (2 cups +)?","{1=< 2 bottle}{2=2 or more}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"WATER_CONSUMPTION","Numeric","[Derived] Estimate of tap and bottled water consumed yesterday",,"No missing values",,,,3,1,"Metric","Input",,,,,,
"HOW_OFTEN","Numeric","[Recode] How often do you usually drink sugary drinks?","{1=Every day}{2=A few times a week}{3=Once a week}{4=Twice a month}{5=Once a month}{6=Less than once a month}{7=Never}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"WHERE_HOME","Numeric","[Derived] In the past week, where have you gotten sugary drinks: home","{0=Not selected}{1=Selected}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"WHERE_SCHOOL","Numeric","[Derived] In the past week, where have you gotten sugary drinks: school","{0=Not selected}{1=Selected}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"WHERE_RESTAURANT","Numeric","[Derived] In the past week, where have you gotten sugary drinks: restaurant","{0=Not selected}{1=Selected}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"WHERE_STORE","Numeric","[Derived] In the past week, where have you gotten sugary drinks: store","{0=Not selected}{1=Selected}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"WHERE_OTHER","Numeric","[Derived] In the past week, where have you gotten sugary drinks: somewhere else","{0=Not selected}{1=Selected}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"WHERE_NO","Numeric","[Derived] In the past week, where have you gotten sugary drinks: I did not","{0=Not selected}{1=Selected}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"WHERE_NOT_HOME","Numeric","[Derived] Where have you gotten sugary drinks (home vs not home)","{1=I did not drink soda}{2=Only at home}{3=Got away from home}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"LARGE_PORTION","Numeric","[Recode] How important is a large portion?","{1=Not at all Important}{3=Somewhat Important}{5=Very Important}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"LOW_PRICE","Numeric","[Recode] How important a low price?","{1=Not at all Important}{3=Somewhat Important}{5=Very Important}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"LOW_CALORIE","Numeric","[Recode] How important is it that the beverage is low in calories?","{1=Not at all Important}{3=Somewhat Important}{5=Very Important}","No missing values",,,,1,0,"Nominal","Input",,,,,,
"HEALTH_TAP_WATER","Numeric","[Recode] Do you believe drinking tap water is healthy?","{1=Bad for health}{4=Neither}{7=Good for health}","No missing values",,,,1,0,"Metric","Input",,,,,,
"HEALTH_BOTTLED_WATER","Numeric","[Recode] Do you believe drinking bottled water is healthy?","{1=Bad for health}{4=Neither}{7=Good for health}","No missing values",,,,1,0,"Metric","Input",,,,,,
"Q22A_RECODE","Numeric","[Recode] 22A. Yesterday, about how many servings of: salty snacks",,"No missing values",,,,4,1,"Metric","Input",,,,,,
"Q22B_RECODE","Numeric","[Recode] 22B. Yesterday, about how many servings of: cookies",,"No missing values",,,,4,1,"Metric","Input",,,,,,
"Q22C_RECODE","Numeric","[Recode] 22C. Yesterday, about how many servings of: candy",,"No missing values",,,,2,0,"Metric","Input",,,,,,
"Q22D_RECODE","Numeric","[Recode] 22D. Yesterday, about how many servings of: fruit",,"No missing values",,,,4,1,"Metric","Input",,,,,,
"Q22E_RECODE","Numeric","[Recode] 22E. Yesterday, about how many servings of: dark green vegetables",,"No missing values",,,,4,1,"Metric","Input",,,,,,
"Q22_RECODE","Numeric","Q22_RECODE",,"No missing values",,,,1,0,"Metric","Input",,,,,,
"Q22_SUGARSNACK","Numeric","[Derived] servings of cookies and candy",,"No missing values",,,,4,1,"Metric","Input",,,,,,
