"name","label","data_type","value_labels","n_missing","complete_rate","n_unique","empty","min","median","max","mean","sd","whitespace","hist","format.spss","display_width"
"Q9","Q9. Yesterday, about how much 100% fruit juice, like orange or apple juice, did you drink?","numeric","1. I did not drink 100% fruit juice yesterday,
2. 1 can or less (1 cup=8oz, 1 can=12 oz),
3. 2 cans (about one 20-oz bottle or 2.5 cups),
4. 3 cans (about two 20-oz bottles or 4.5 cups),
5. 4 or more cans (48 oz or more),
12. I did not drink 100% fruit juice yesterday and 1 can or less (1 cup=8oz, 1 can=12 oz),
13. I did not drink 100% fruit juice yesterday and 2 cans (about one 20-oz bottle or 2.5 cups),
15. I did not drink 100% fruit juice yesterday and 4 or more cans (48 oz or more),
23. 1 can or less (1 cup=8oz, 1 can=12 oz) and 2 cans (about one 20-oz bottle or 2.5 cups),
34. 2 cans (about one 20-oz bottle or 2.5 cups) and 3 cans (about two 20-oz bottles or 4.5 cups),
1234. I did not drink 100% fruit juice yesterday, 1 can or less, 2 cans, and 3 cans,
12345. All options selected",1203,0.652312138728324,,,"    2","    3.0"," 12345",8.87682764731945,261.074963214766,,"▇▁▁▁▁","F5.0","7"
"Q10","Q10. Yesterday, about how many sweetened fruit-flavored drinks, sweetened tea drinks, or sweetened coffee drinks did you drink?","numeric","1. I did not drink sweetened fruit flavored, tea or coffee drinks yesterday,
2. 1 can or less (1 cup=8oz, 1 can=12 oz),
3. 2 cans (about one 20-oz bottle or 2.5 cups),
4. 3 cans (about two 20-oz bottles or 4.5 cups),
5. 4 or more cans (48 oz or more),
12. I did not drink any sweetened fruit-flavored, tea, or coffee drinks yesterday and 1 can or less,
13. I did not drink any sweetened fruit-flavored, tea, or coffee drinks yesterday and 2 cans,
15. I did not drink any sweetened fruit-flavored, tea, or coffee drinks yesterday and 4 or more cans,
23. 1 can or less (1 cup=8oz, 1 can=12 oz) and 2 cans (about one 20-oz bottle or 2.5 cups),
34. 2 cans (about one 20-oz bottle or 2.5 cups) and 3 cans (about two 20-oz bottles or 4.5 cups),
45. 3 cans (about two 20-oz bottles or 4.5 cups) and 4 or more cans (48 oz or more),
1234. Did not drink any sweetened fruit-flavored, tea, or coffee drinks yesterday, 1 can or less, 2 cans, and 3 cans,
2345. 1 can or less, 2 cans, 3 cans, and 4 or more cans,
12345. All options selected",1501,0.566184971098266,,,"    2","    2.0"," 12345",12.1577335375191,289.987689728802,,"▇▁▁▁▁","F5.0","7"
"Q11","Q11. Yesterday, about how much tap water did you drink?","numeric","1. I did not drink tap water yesterday,
2. A few sips,
3. 1 cup (8 oz),
4. 2 cups,
5. 3 cups,
6. 4 or more cups,
12. I did not drink tap water yesterday and a few sips,
14. I did not drink tap water yesterday and 2 cups,
15. I did not drink tap water yesterday and 3 cups,
16. I did not drink tap water yesterday and 4 or more cups,
23. A few sips and 1 cup 8 oz,
25. A few sips and 3 cups,
34. 1 cup 8 oz and 2 cups,
45. 2 cups and 3 cups,
56. 3 cups and 4 or more cups,
123456. All options selected",1240,0.641618497109827,,,"    2","    4.0","123456",115.264414414414,3704.57793534426,,"▇▁▁▁▁","F6.0",
"Q12","Q12. Yesterday, about how much bottled water like Aquafina, did you drink?","numeric","1. I did not drink bottled water yesterday,
2. Less than 1 bottle (a sip or a few sips),
3. 1 bottle (about 16-20 oz),
4. 2 bottles,
5. 3 bottles,
6. 4 or more bottles,
12. I did not drink bottled water yesterday and less than 1 bottle a sip or a few sips,
14. I did not drink bottled water yesterday and 2 bottles,
16. I did not drink bottled water yesterday and 4 or more bottles,
23. Less than 1 bottle a sip or a few sips and 1 bottle about 16-20 oz,
34. 1 bottle about 16-20 oz and 2 bottles,
134. I did not drink bottled water yesterday, 1 bottle about 16-20 oz, and 2 bottles,
245. Less than 1 bottle a sip or a few sips, 2 bottles, and 3 bottles",3452,0.0023121387283237,,,"   12","   23.0","   245",62.625,84.0202994179723,,"▇▁▁▁▁","F3.0","5"
"Q13","Q13. How often do you usually drink sugary drinks?","numeric","1. Every day,
2. A few times a week,
3. Once a week,
4. Twice a month,
5. Once a month,
6. Less than once a month,
7. Never,
12. Every day and a few times a week,
13. Every day and once a week,
15. Every day and once a month,
17. Every day and never,
23. A few times a week and once a week,
25. A few times a week and once a month,
26. A few times a week and less than once a month,
27. A few times a week and never,
34. Once a week and twice a month,
36. Once a week and less than once a month,
46. Twice a month and less than once a month,
47. Twice a month and never,
67. Less than once a month and never",35,0.989884393063584,,,"    1","    2.0","    67",2.3451094890511,2.83832667277479,,"▇▁▁▁▁","F2.0","5"
"Q14","Q14. In the past week, where have you gotten sugary drinks (Check all that apply)","numeric","1. At your home or someone else's home,
2. At school,
3. At a restaurant,
4. At a store,
5. Somewhere else,
6. I did not get any sugary drinks in the past week,
12. At your home or someone else's home and at school,
13. At your home or someone else's home and at a restaurant,
14. At your home or someone else's home and at a store,
15. At your home or someone else's home and somewhere else,
16. At your home or someone else's home and I did not get any sugary drinks in the past week,
23. At school and at a restaurant,
24. At school and at a store,
25. At school and somewhere else,
34. At a restaurant and at a store,
35. At a restaurant and somewhere else,
45. At a store and somewhere else,
56. Somewhere else and I did not get any sugary drinks in the past week,
123. At your home or someone else's home, at school, and at a restaurant,
124. At your home or someone else's home, at school, and at a store,
125. At your home or someone else's home, at school, and somewhere else,
134. At your home or someone else's home, at a restaurant, and at a store,
135. At your home or someone else's home, at a restaurant, and somewhere else,
145. At your home or someone else's home, at a store, and somewhere else,
234. At school, at a restaurant, and at a store,
235. At school, at a restaurant, and somewhere else,
245. At school, at a store, and somewhere else,
345. At a restaurant, at a store, and somewhere else,
456. At a store, somewhere else, and I did not get any sugary drinks in the past week,
1234. At your home or someone else's home, at school, at a restaurant, and at a store,
1235. At your home or someone else's home, at school, at a restaurant, and somewhere else,
1245. At your home or someone else's home, at school, at a store, and somewhere else,
1345. At your home or someone else's home, at a restaurant, at a store, and somewhere else,
2356. At school, at a restaurant, somewhere else, and I did not get any sugary drinks in the past week,
12345. At your home or someone else's home, at school, at a restaurant, at a store, and somewhere else,
13456. At your/someone else's home, at a restaurant, at a store, somewhere else, and I did not get any sugary drinks,
123456. All options selected",77,0.977745664739884,,,"    1","    4.0","123456",480.890038427431,5011.75162638823,,"▇▁▁▁▁","F6.0",
"Q15","Q15. How important is a large portion when you are deciding whether to buy a beverage?","numeric","1. Not at all important,
3. Somewhat important,
5. Very important",89,0.974277456647399,,,"    1","    3.0","     5",2.98516760605162,1.31902967441559,,"▅▃▇▃▅","F1.0","5"
"Q16","Q16. How important is a low price when you are deciding whether to buy a beverage?","numeric","1. Not at all important,
3. Somewhat important,
5. Very important",90,0.973988439306358,,,"    1","    3.0","     5",3.24243323442137,1.40842270323077,,"▅▅▇▃▇","F1.0","5"
"Q17","Q17. How important is it that a beverage is low in calorie when you are deciding whether to buy it?","numeric","1. Not at all important,
3. Somewhat important,
5. Very important,
13. Not at all important and somewhat important,
15. Not at all important and very important,
23. 2 and somewhat important,
24. 2 and 4,
25. 2 and very important,
34. Somewhat important and 4,
35. Somewhat important and very important,
45. 4, and very important,
145. Not at all important, 4, and very important,
345. Somewhat important, 4, and very important,
12345. All options selected",1071,0.690462427745665,,,"    1","    3.0"," 12345",8.57806613645877,252.65016654335,,"▇▁▁▁▁","F5.0","7"
"Q18","Q18. Do you believe drinking tap water is (bad to good for health)","numeric","1. Bad for health,
4. Neither,
7. Good for health,
12. Bad for health and 2,
13. Bad for health and 3,
14. Bad for health and neither,
16. Bad for health and 6,
17. Bad for health and good for health,
27. 2 and good for health,
34. 3 and neither,
37. 3 and good for health,
46. Neither and 6,
47. Neither and good for health,
57. 5 and good for health,
67. 6 and good for health,
467. Neither, 6, and good for health,
567. 5, 6, and good for health,
1247. Bad for health, 2, neither, and good for health,
1457. Bad for health, neither, 5, good for health,
3567. 3, 5, 6, and good for health,
12346. Bad for health, 2, 3, neither, and 6,
123467. Bad for health, 2, 3, neither, 6, and good for health",3460,0,,,"   NA","     NA","    NA",,,," ","F6.0",
"Q19","Q19. Do you believe drinking bottled water is (bad to good for health)","numeric","1. Bad for health,
4. Neither,
7. Good for health,
12. Bad for health and 2,
14. Bad for health and neither,
15. Bad for health and 5,
17. Bad for health and good for health,
27. 2 and good for health,
34. 3 and neither,
45. Neither and 5,
47. Neither and good for health,
57. 5 and good for health,
67. 6 and good for health,
124. Bad for health, 2, and neither,
125. Bad for health, 2, and 5,
367. 3, 6, and good for health,
567. 5, 6, and good for health,
1237. Bad for health, 2, 3, and good for health,
1257. Bad for health, 2, 5, and good for health,
12345. Bad for health, 2, 3, neither, and 5,
12357. Bad for health, 2, 3, 5, and good for health,
1234567. All options selected",3460,0,,,"   NA","     NA","    NA",,,," ","F7.0","9"
"Q20","Q20. About how much of your own money do you spend per week on sugary drinks? (filler)","numeric",,3460,0,,,"   NA","     NA","    NA",,,," ","F1.0","5"
"Q20A","Q20a. About how much of your own money do you spend per week on sugary drinks?","numeric",,276,0.920231213872832,,,"    0","    5.0","101100",46.5741206030151,1795.65247274112,,"▇▁▁▁▁","F6.0",
"Q21","Q21. Are there any rules in your house limiting the amount of sugary drinks that you are allowed to have each day?","numeric","1. Yes,
2. No",167,0.951734104046243,,,"    1","    2.0","     2",1.56422714849681,0.495933021684013,,"▆▁▁▁▇","F1.0","5"
"Q22A","22A. Yesterday, about how many servings of: salty snacks","character",,0,1,29,433,"0",,"3",,,0,,"A3","6"
"Q22B","22B. Yesterday, about how many servings of: cookies","character",,0,1,25,468,"0",,"3",,,0,,"A3","6"
"Q22C","22C. Yesterday, about how many servings of: candy","character",,0,1,23,458,"0",,"2",,,0,,"A2","6"
"Q22D","22D. Yesterday, about how many servings of: fruit","character",,0,1,24,474,"0",,"3",,,0,,"A3","6"
"Q22E","22E. Yesterday, about how many servings of: dark green vegetables","character",,0,1,30,511,"0",,"3",,,0,,"A3","6"
"Q23","23. Past 7 days (P7D), on how many days were you physically active for a total of at least 60 min per day?","numeric",,499,0.855780346820809,,,"    0","    3.0","     9",3.39108409321175,2.1656973020426,,"▆▇▇▅▁","F1.0","5"
"Q24","24. Past 7 days (P7D), on how many days did you do exercise to strengthen or tone your muscles?","numeric",,380,0.890173410404624,,,"    0","    3.0","     9",3.08246753246753,2.2312735741063,,"▇▇▇▃▁","F1.0","5"
"Q25","25. How much do you weigh without your shoes on? (filler)","numeric",,3460,0,,,"   NA","     NA","    NA",,,," ","F1.0","5"
"Q25A","25a. How much do you weigh without your shoes on? (Pounds)","numeric",,246,0.928901734104046,,,"    0","  120.0","120915",165.310205351587,2137.94759718996,,"▇▁▁▁▁","F6.0",
"Q26","26. How tall are you without your shoes on? (filler)","numeric",,3460,0,,,"   NA","     NA","    NA",,,," ","F1.0","5"
"Q26A","26a. How tall are you without your shoes on? (Feet)","numeric",,288,0.916763005780347,,,"    0","    5.0","   411",5.06147540983607,7.76631683402981,,"▇▁▁▁▁","F3.0","6"
"Q26B","26b. How tall are you without your shoes on? (Inches)","numeric",,391,0.886994219653179,,,"    0","    5.0","   312",5.46790485500163,7.97584539233087,,"▇▁▁▁▁","F3.0","6"
"Q27","27. Have you heard of or seen any information about Mixify or the Balance Calories Initiative of the American Beverage Association (ABA)?","numeric","1. Yes,
2. No",201,0.941907514450867,,,"    1","    2.0","     2",1.70911322491562,0.454241094048533,,"▃▁▁▁▇","F1.0","5"
"Q28","28. If yes, where did you hear of Mixify or the Balance Calories Initiative (check all)","numeric","1. On the internet,
2. At a store,
3. On a billboard,
4. On a bus advertisement,
12. On the internet and at a store,
13. On the internet and on a billboard,
14. On the internet and on a bus advertisement,
23. At a store and on a billboard,
24. At a store and on a bus advertisement,
34. On a billboard and on a bus advertisement,
123. On the internet, at a store, and on a billboard,
124. On the internet, at a store, and on a bus advertisement,
134. On the internet, on a billboard, and on a bus advertisement,
234. At a store, on a billboard, and on a bus advertisement,
1234. All options selected",2144,0.380346820809249,,,"    1","    2.0","  1234",11.7993920972644,102.482045314277,,"▇▁▁▁▁","F4.0","6"
"Q28A","28a. If yes, where did you hear of Mixify or the Balance Calories Initiative (Other specify)","character",,0,1,1,0,"17",,"17",,,0,,"A17","19"
"SURVEY_DATE","[Recode] Date of survey","numeric",,315,0.908959537572254,,,"20674","20749.0"," 20780",20745.3004769475,22.0287160010032,,"▁▃▆▆▇","F5.0","13"
"SURVEY_MONTH","[Recode] Month of survey","numeric",,315,0.908959537572254,,,"    8","   10.0","    11",10.0839427662957,0.780617437999896,,"▁▅▁▇▆","F2.0","14"
"SURVEY_YEAR","[Recode] Year of survey","numeric",,315,0.908959537572254,,," 2016"," 2016.0","  2016",2016,0,,"▁▁▇▁▁","F4.0","13"
"RACE_LATINO","[Derived] How do you describe yourself: Latino/Latina","numeric","0. Not selected,
1. Selected",18,0.994797687861272,,,"    0","    0.0","     1",0.010459035444509,0.101747981627076,,"▇▁▁▁▁","F1.0","13"
"RACE_BLACK","[Derived] How do you describe yourself: Black, African American","numeric","0. Not selected,
1. Selected",18,0.994797687861272,,,"    0","    1.0","     1",0.883207437536316,0.321219608938192,,"▁▁▁▁▇","F1.0","12"
"RACE_WHITE","[Derived] How do you describe yourself: White","numeric","0. Not selected,
1. Selected",18,0.994797687861272,,,"    0","    0.0","     1",0.101685066821615,0.302277620957099,,"▇▁▁▁▁","F1.0","12"
"RACE_ASIAN","[Derived] How do you describe yourself: Asian or Asian American","numeric","0. Not selected,
1. Selected",18,0.994797687861272,,,"    0","    0.0","     1",0.00668216153399187,0.0814827539991056,,"▇▁▁▁▁","F1.0","12"
"RACE_PACIFIC","[Derived] How do you describe yourself: Pacific Islander","numeric","0. Not selected,
1. Selected",18,0.994797687861272,,,"    0","    0.0","     1",0.00348634514816967,0.0589508285886465,,"▇▁▁▁▁","F1.0","14"
"RACE_AMINDIAN","[Derived] How do you describe yourself: American Indian or Alaska Native","numeric","0. Not selected,
1. Selected",18,0.994797687861272,,,"    0","    0.0","     1",0.00290528762347472,0.0538301847408795,,"▇▁▁▁▁","F1.0","15"
"RACE_OTHER","[Derived] How do you describe yourself: Some other race or ethnicity","numeric","0. Not selected,
1. Selected",18,0.994797687861272,,,"    0","    0.0","     1",0.00406740267286461,0.0636556057343463,,"▇▁▁▁▁","F1.0","12"
"RACE_3G","[Derived] 3 race/ethnicity groups (Black, White, multiple/other)","numeric","1. Black,
2. White,
3. Multi/Other",18,0.994797687861272,,,"    1","    1.0","     3",1.15891923300407,0.44587005988438,,"▇▁▁▁▁","F1.0","9"
"VISIT_FREQ","[Recode] How often do you visit this store or restaurant?","numeric","1. Almost every day (5-7 x/week),
2. A few days per week (2-4 x/week),
3. About once a week,
4. Occasionally (1-3x per month),
5. Seldom (less than once a month),
6. Rarely (a few times a year or less)",39,0.988728323699422,,,"    1","    3.0","     6",2.67494884536685,1.34322461752063,,"▇▅▂▁▁","F1.0","12"
"REGULAR_SODA","[Recode] Yesterday, about how much regular soda did you drink?","numeric","1. None,
2. 1 can or less,
3. 2 cans,
4. 3 cans,
5. 4 +",49,0.985838150289017,,,"    1","    2.0","     5",2.23131046613896,1.08312787554603,,"▇▇▆▂▁","F1.0","14"
"REGULAR_SODA_TOPCODE","[Recode] Yesterday, about how much regular soda did you drink? (0 to 4)","numeric",,49,0.985838150289017,,,"    0","    1.0","     4",1.23131046613896,1.08312787554603,,"▇▇▆▂▁","F1.0","22"
"REGULAR_SODA_ANY","[Recode] Yesterday, how much regular soda did you drink (any)?","numeric","1. None,
2. Some",49,0.985838150289017,,,"    1","    2.0","     2",1.7009674582234,0.457901245416111,,"▃▁▁▁▇","F1.0","18"
"REGULAR_SODA_2CANS","[Recode] Yesterday, how much regular soda did you drink (2 cans +)?","numeric","1. < 2 cans,
2. 2 or more",49,0.985838150289017,,,"    1","    1.0","     2",1.36822046320727,0.482392345339488,,"▇▁▁▁▅","F1.0","20"
"DIET_SODA","[Recode] Yesterday, about how much diet soda did you drink?","numeric","1. None,
2. 1 can or less,
3. 2 cans,
4. 3 cans,
5. 4 +",48,0.986127167630058,,,"    1","    1.0","     5",1.42731535756155,0.864453945599149,,"▇▂▁▁▁","F1.0","11"
"DIET_SODA_TOPCODE","[Recode] Yesterday, about how much diet soda did you drink?(0 to 4)","numeric",,48,0.986127167630058,,,"    0","    0.0","     4",0.427315357561548,0.864453945599149,,"▇▂▁▁▁","F1.0","19"
"DIET_SODA_ANY","[Recode] Yesterday, how much diet soda did you drink (any)?","numeric","1. None,
2. Some",48,0.986127167630058,,,"    1","    1.0","     2",1.24912075029308,0.432567268956681,,"▇▁▁▁▂","F1.0","15"
"DIET_SODA_2CANS","[Recode] Yesterday, how much diet soda did you drink (2 cans +)?","numeric","1. < 2 cans,
2. 2 or more",48,0.986127167630058,,,"    1","    1.0","     2",1.11987104337632,0.324858286429368,,"▇▁▁▁▁","F1.0","17"
"SPORTS_DRINK","[Recode] Yesterday, about how many sports or energy drinks did you drink?","numeric","1. None,
2. 1 can or less,
3. 2 cans,
4. 3 cans,
5. 4 +",63,0.981791907514451,,,"    1","    1.0","     5",1.95731527818664,1.21639888246633,,"▇▃▂▁▁","F1.0","14"
"SPORTS_DRINK_TOPCODE","[Recode] Yesterday, about how many sports or energy drinks did you drink? (0 to 4)","numeric",,63,0.981791907514451,,,"    0","    0.0","     4",0.957315278186635,1.21639888246633,,"▇▃▂▁▁","F1.0","22"
"SPORTS_DRINK_ANY","[Recode] Yesterday, about how many sports or energy drinks did you drink (any)?","numeric","1. None,
2. Some",63,0.981791907514451,,,"    1","    1.0","     2",1.4801295260524,0.499678560695778,,"▇▁▁▁▇","F1.0","18"
"SPORTS_DRINK_2CANS","[Recode] Yesterday, about how many sports or energy drinks did you drink (2 cans +)?","numeric","1. < 2 cans,
2. 2 or more",63,0.981791907514451,,,"    1","    1.0","     2",1.29113924050633,0.454354436327127,,"▇▁▁▁▃","F1.0","20"
"FRUIT_JUICE","[Recode] Yesterday, about how much 100% fruit juice did you drink?","numeric","1. None,
2. 1 can or less,
3. 2 cans,
4. 3 cans,
5. 4 +",52,0.984971098265896,,,"    1","    2.0","     5",2.15669014084507,1.12164805273696,,"▇▇▅▂▁","F1.0","13"
"FRUIT_JUICE_TOPCODE","[Recode] Yesterday, about how much 100% fruit juice did you drink? (0 to 4)","numeric",,52,0.984971098265896,,,"    0","    1.0","     4",1.15669014084507,1.12164805273696,,"▇▇▅▂▁","F1.0","21"
"FRUIT_JUICE_ANY","[Recode] Yesterday, about how much 100% fruit juice did you drink (any)?","numeric","1. None,
2. Some",52,0.984971098265896,,,"    1","    2.0","     2",1.65757042253521,0.4745920909609,,"▅▁▁▁▇","F1.0","17"
"FRUIT_JUICE_2CANS","[Recode] Yesterday, about how much 100% fruit juice did you drink (2 cans +)?","numeric","1. < 2 cans,
2. 2 or more",52,0.984971098265896,,,"    1","    1.0","     2",1.32863849765258,0.469787180435366,,"▇▁▁▁▃","F1.0","19"
"SWEET_DRINK","[Recode] Yesterday, about how much sweetened fruit/tea/coffee did you drink?","numeric","1. None,
2. 1 can or less,
3. 2 cans,
4. 3 cans,
5. 4 +",53,0.984682080924856,,,"    1","    2.0","     5",1.98238919870854,1.0843659376637,,"▇▆▃▁▁","F1.0","13"
"SWEET_DRINK_TOPCODE","[Recode] Yesterday, about how much sweetened fruit/tea/coffee did you drink? (0 to 4)","numeric",,53,0.984682080924856,,,"    0","    1.0","     4",0.982389198708541,1.0843659376637,,"▇▆▃▁▁","F1.0","21"
"SWEET_DRINK_ANY","[Recode] Yesterday, how much sweetened fruit/tea/coffee did you drink (any)?","numeric","1. None,
2. Some",53,0.984682080924856,,,"    1","    2.0","     2",1.57088347519812,0.495022683970371,,"▆▁▁▁▇","F1.0","17"
"SWEET_DRINK_2CANS","[Recode] Yesterday, how much sweetened fruit/tea/coffee did you drink (2 cans +)?","numeric","1. < 2 cans,
2. 2 or more",53,0.984682080924856,,,"    1","    1.0","     2",1.27825066040505,0.448203294465474,,"▇▁▁▁▃","F1.0","19"
"SSB_CONSUMPTION","[Derived] Estimate of Sugar Sweetened Beverages (SSB) consumed yesterday (soda, sports, and sweet drinks)","numeric",,9,0.997398843930636,,,"    0","    3.0","    12",3.12923790205738,2.40870161041668,,"▇▅▃▁▁","F2.0","17"
"SSB_CONSUMPTION_ANY","[Derived] Sugar Sweetened Beverages (SSB) consumed (none vs some)","numeric","1. None,
2. Some",9,0.997398843930636,,,"    1","    2.0","     2",1.88351202549986,0.320855664986449,,"▁▁▁▁▇","F1.0","21"
"SSB_CONSUMPTION_2CUP","[Derived] Sugar Sweetened Beverages (SSB) consumed (2 or more cups)","numeric","1. None to 1cup,
2. 2+",9,0.997398843930636,,,"    1","    2.0","     2",1.71312662996233,0.452367480366945,,"▃▁▁▁▇","F1.0","22"
"SSB_CONSUMPTION_3CUP","[Derived] Sugar Sweetened Beverages (SSB) consumed (3 or more cups)","numeric","1. None to 2cup,
2. 3+",9,0.997398843930636,,,"    1","    2.0","     2",1.53172993335265,0.49906450812971,,"▇▁▁▁▇","F1.0","22"
"SSB_CONSUMPTION_4CUP","[Derived] Sugar Sweetened Beverages (SSB) consumed (4 or more cups)","numeric","1. None to 3cup,
2. 4+",9,0.997398843930636,,,"    1","    1.0","     2",1.38075920023182,0.485643875872617,,"▇▁▁▁▅","F1.0","22"
"HEAVY_SSB","[Derived] Indicator if consume 4 or more Sugar Sweetened Beverages (SSB)","numeric","0. No,
1. Yes",9,0.997398843930636,,,"    0","    0.0","     1",0.380759200231817,0.485643875872617,,"▇▁▁▁▅","F1.0","11"
"TAP_WATER","[Recode] Yesterday, how much tap water did you drink?","numeric","1. None,
2. A few sips,
3. 1 cup,
4. 2 cups,
5. 3 cups,
6. 4 +",49,0.985838150289017,,,"    1","    3.0","     6",2.84813837584286,1.75687469770247,,"▇▂▂▂▂","F1.0","11"
"TAP_WATER_TOPCODE","[Recode] Yesterday, how much tap water did you drink? (0 to 4)","numeric",,49,0.985838150289017,,,"    0","    1.0","     4",1.27030196423336,1.36813137423932,,"▇▂▂▂▂","F3.1","19"
"TAP_WATER_ANY","[Recode] Yesterday, how much tap water did you drink? (any)?","numeric","1. None,
2. Some",49,0.985838150289017,,,"    1","    2.0","     2",1.64585165640575,0.478324544401164,,"▅▁▁▁▇","F1.0","15"
