"name","label","data_type","value_labels","n_missing","complete_rate","min","median","max","mean","sd","hist","format.spss","display_width"
"depress","HADS Depression","numeric",,2,0.992619926199262,"  0","  3"," 12",3.49814126394052,2.99330663178872,"▇▅▃▁▁","F8.0",
"fatigue","fatigued","numeric",,12,0.955719557195572,"  1","  5"," 10",4.88030888030888,2.3847785843703,"▆▇▆▇▁","F8.0",
"lethargy","lethargic","numeric",,2,0.992619926199262,"  1","  4"," 10",4.71747211895911,2.3535681715668,"▆▇▅▇▁","F8.0",
"tired","tired","numeric",,1,0.996309963099631,"  1","  6"," 10",5.2962962962963,2.34742308788123,"▃▆▆▇▂","F8.0",
"sleepy","sleepy","numeric",,6,0.977859778597786,"  1","  6"," 10",5.56603773584906,2.21999721848604,"▂▆▆▇▂","F8.0",
"energy","lack energy","numeric",,3,0.988929889298893,"  1","  6"," 10",5.52985074626866,2.35338722659788,"▃▆▅▇▂","F8.0",
"stayslprec","prob stay asleep rec","numeric","0. no,
1. yes",5,0.981549815498155,"  0","  0","  1",0.43609022556391,0.496833497163889,"▇▁▁▁▆","F8.0","10"
"getsleprec","prob fall asleep rec","numeric","0. no,
1. yes",2,0.992619926199262,"  0","  0","  1",0.394052044609665,0.489556924530619,"▇▁▁▁▅","F8.0","11"
"qualsleeprec","qual sleep rec","numeric","1. very poor, poor,
2. fair,
3. good,
4. very good, excellent",3,0.988929889298893,"  1","  3","  4",2.70149253731343,0.990818152049603,"▃▇▁▇▆","F8.0","12"
"totsas","sleepy & assoc sensations scale","numeric",,20,0.92619926199262,"  5"," 27"," 50",26.0438247011952,10.5197942809328,"▅▆▆▇▁","F8.0",
"cigsgp3","cigs per day gp3","numeric","1. <= 5,
2. 6 - 15,
3. 16+",236,0.129151291512915,"  1","  2","  3",1.91428571428571,0.853071563490997,"▇▁▆▁▆","F5.0",
"agegp3","agegp3","numeric","1. <= 37,
2. 38 - 50,
3. 51+",23,0.915129151291513,"  1","  2","  3",1.98387096774194,0.809697009035581,"▇▁▇▁▇","F5.0",
"probsleeprec","prob sleep recode 01","numeric","0. no,
1. yes",2,0.992619926199262,"  0","  0","  1",0.434944237918216,0.496673727566808,"▇▁▁▁▆","F8.0","10"
"drvslprec","fall asleep while driving","numeric","0. no,
1. yes",22,0.918819188191882,"  0","  0","  1",0.124497991967871,0.330813770880258,"▇▁▁▁▁","F8.0","9"
